Sorted,10,26250,3542,5375
Shuffled,10,5792,3084,4542
Reversed,10,4916,2333,4000
Sorted,25,32875,6167,10167
Shuffled,25,10500,5583,9792
Reversed,25,9708,5583,8625
Sorted,45,40416,17166,20750
Shuffled,45,16875,9834,15917
Reversed,45,17291,10083,16917
Sorted,50,43458,18834,22834
Shuffled,50,18375,11292,23542
Reversed,50,20750,10375,16042
Sorted,75,52708,19792,25916
Shuffled,75,30208,19916,28583
Reversed,75,35334,19334,26000
Sorted,100,59250,27792,34708
Shuffled,100,40500,29542,38334
Reversed,100,40208,27333,34916
Sorted,130,180917,44167,64625
Shuffled,130,123458,15250,31209
Reversed,130,84791,15917,31167
Sorted,145,180166,49542,78125
Shuffled,145,117708,17500,35042
Reversed,145,77584,15417,27875
Sorted,150,183416,40125,66833
Shuffled,150,87083,18625,36417
Reversed,150,66500,15583,24500
Sorted,175,196000,53542,71834
Shuffled,175,94708,20125,42834
Reversed,175,72292,17791,30042
Sorted,200,214542,68916,98542
Shuffled,200,139291,24375,49416
Reversed,200,70625,19417,34542
